reference_number,title,journal,year,authors,ANOVA_used,design_used,assumptions_check,which_assumptions_checked,transformation_used,type_of_transformation,motivation,reassessment_assumptions,interpretation_scala,study_element,jcr_impact_factor,status,discard_reason
9,"Productivity, mineral composition, and phenolic compound content in bush snap beans grown during different seasons",Semina-Ciencias Agrarias,2019,"Guilherme Renato Gomes; Gustavo Henrique Freiria; Leonel Vinicius Constantino; Silas Mian Alves; Douglas Mariani Zeffa; Lúcia Sadayo Assari Takahashi4
 ",yes,randomized block design - RBD,no,,yes,logarithm,unmentioned,unmentioned,unmentioned,feijão-vagem,0.21,selected,NA
10,Quality of rubber tree rootstock seedlings grown in protected environments and alternative substrates,ACTA SCIENTIARUM.,2018,"Abimael Gomes da Silva, Edilson Costa, Talita Cristina Campos Pereira, Flávio Ferreira da Silva Binotti, Erivaldo José Scaloppi Junior, Tiago Zoz",yes,completely randomized design - CRD,no,,yes,square root,unmentioned,unmentioned,unmentioned,seringueira,,selected,NA
11,Soil fertility under different tillage systems in sugarcane expansion area,Australian Journal of Crop Science,2019,"Emmerson Rodrigues de Moraes , José Geraldo Mageste, Joicy Vitória Miranda Peixoto, Luis Augusto da Silva Domingues, Regina Maria Quintão Lana, Ernane Miranda Lemes",yes,randomized block design - RBD,yes,unmentioned,yes,square root,unmentioned,unmentioned,transformed,sugarcane,0.72,selected,NA
12,Indirect selection of maize genotypes based on associations between root agronomic and anatomical characters,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH ,2017,"Ivanildo Nascimento-Júnior, Gustavo V. Môro, Fabíola V. Môro",yes,randomized block design - RBD,yes,"normality, homogeneity",yes,logarithm,"normality, homogeneity",unmentioned,transformed,milho,0.61,selected,NA
12,Indirect selection of maize genotypes based on associations between root agronomic and anatomical characters,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH ,2017,"Ivanildo Nascimento-Júnior, Gustavo V. Môro, Fabíola V. Môro",yes,randomized block design - RBD,yes,"normality, homogeneity",yes,square root,"normality, homogeneity",unmentioned,transformed,milho,0.61,selected,NA
13,"TEMPERATURE, LIGHT, AND DESICCATION TOLERANCE IN SEED GERMINATION OF Mauritia flexuosa L.F",Revista Árvore,2018,"Lívia Caroline Praseres de Almeida, Kathia Fernandes Lopes Pivetta, Renata Gimenes, Gustavo de Nobrega Romani ,Marcos Vieira Ferraz Renata Bachin Mazzini-Guedes",yes,completely randomized design - CRD,no,,yes,arcsen,unmentioned,unmentioned,transformed,palmeira,0.24,selected,NA
14,EXCHANGEABLE ALUMINUM EVALUATION IN ACID SOILS,Scientia Agricola,2003,Cassio Hamilton Abreu Jr.; Takashi Muraoka; André Fernando Lavorante,yes,unmentioned,no,,yes,"(X+0,5)",unmentioned,unmentioned,transformed,solo ,1.05,selected,NA
15,Non-target impact of deltamethrin on soil arthropods of maize fields under conventional and no-tillage cultivation,Journal of Applied Entomology,2007,"C. A. Badji, R. N. C. Guedes, A. A. Silva, A. S. Corrêa, M. E. L. R. Queiroz, M. Michereff-Filho",yes,randomized block design - RBD,yes,"normality, homogeneity",yes,logarithm,"normality, homogeneity",unmentioned,transformed,milho,0.98,selected,NA
16,Physicochemical and sensory characteristics of milk from cows in different lactation stages and calving orders,Semina: Ciências Agrárias,2016,"Mayara Leilane de Jesus Barreto; Adriano Henrique do Nascimento Rangel; Maria Helena Constantino Spyrides; Gelson Santos Difante; Dorgival Morais de Lima Júnior
",yes,unmentioned,no,,yes,logarithm,unmentioned,unmentioned,unmentioned,Leite,0.21,selected,NA
17,Rootstocks and grafting methods for Atemoya (Annona squamosa L. x Annona cherimoya Mill.) plants,Semina: Ciências Agrárias,2013,"Grazianny Andrade Leite; Vander Mendonça; Luciana Freitas de Medeiros Mendonça; Lydio Luciano de Gois Ribeiro Dantas; Poliana Samara de Castro Freitas Cunha
",yes,randomized block design - RBD,no,,yes,square root,unmentioned,unmentioned,transformed,Atemoieira,0.21,selected,NA
18,Embryogenesis in the anthers of different ornamental pepper (Capsicum annuum L.) genotypes,Genetics and molecular RESEARCH ,2015,"P.A. Barroso, M.M. Rêgo, E.R. Rêgo and W.S. Soares",yes,completely randomized design - CRD,no,,yes,arcsen,unmentioned,unmentioned,transformed,Pimenta,0.11,selected,NA
19,Evaluation of enset (Ensete ventricosum) clones for resistance reaction against pathogenic Xanthomonas campestris pv. musacearum isolates from Southwestern Ethiopia,Cogent Food & Agriculture,2020,"Befekadu Haile , Chemeda Fininsa , Habtamu Terefe , Alemayehu Chala & Shimelis Hussen",yes,completely randomized design - CRD,no,,yes,arcsen,normality,unmentioned,transformed,Ensete ventricosum (falsa bananeira),0.53,selected,NA
20,In vitro pollen viability of maize cultivars at different times of collection,Ciência Rural,2016,"Emanoel Sanches Martins, Livia Maria Chamma Davide, Gian José Miranda, Jefferson de Oliveira Barizon, Francisco de Assis Souza Junior, Rafael Pelloso de Carvalho, Manoel Carlos Gonçalves",yes,completely randomized design with split-plot arrangement,no,,yes,arcsen√x,unmentioned,unmentioned,unmentioned,milho,0.28,selected,NA
21,Requirement of Digestible Sulfur Amino Acids in Laying Hens Fed Sorghum- and Soybean Meal-Based Diets,Brazilian Journal of Poultry Science,2015,"Gomez RS, Angeles ML",yes,randomized block design - RBD,no,,yes,arcsen,unmentioned,unmentioned,unmentioned,poedeiras,0.38,selected,NA
22,Tropical tannin-rich fodder intake modifies saliva-binding capacity in growing sheep,animal,2013,"J. J. Vargas-Magaña, A. J. Aguilar-Caballero, J. F. J. Torres-Acosta , C. A. Sandoval-Castro, H. Hoste, C. M. Capetillo-Leal",yes,unmentioned,no,,yes,natural logarithm,normality,normality,transformed,ovelhas,1.68,selected,NA
22,Tropical tannin-rich fodder intake modifies saliva-binding capacity in growing sheep,animal,2013,"J. J. Vargas-Magaña, A. J. Aguilar-Caballero, J. F. J. Torres-Acosta , C. A. Sandoval-Castro, H. Hoste, C. M. Capetillo-Leal",yes,unmentioned,no,,yes,square ,normality,normality,transformed,ovelhas,1.68,selected,NA
23,A Simulation Model of Rosa hybrida Growth Response to Constant Irradiance and Day and Night Temperatures,Journal of the American Society for Horticultural Science,1994,"Douglas A. Hopper, P. Allen Hammer, James R. Wilson",yes,unmentioned,no,,yes,natural logarithm,homogeneity,unmentioned,transformed,Rosa hybrida,0.54,selected,NA
24,Agronomic performance of maize (Zea mays L.) genotypes under Azospirillum brasilense application and mineral fertilization,Revista de la Facultad de Ciencias Agrarias,2020,"Luiz Eduardo Tilhaqui Bertasello, Vinicius Augusto Filla, Anderson Prates Coelho, Gustavo Vitti Môro",yes,randomized block design - RBD,no,,yes,√x+1,normality,unmentioned,original,milho,0.38,selected,NA
25,Chitosan and phenolic compounds in the control of anthracnose in mango,REVISTA BRASILEIRA DE FRUTICULTURA,2021,"Luana Sabrine Silva, Edson Hiydu Mizobutsi, Regina Cássia Ferreira Ribeiro, Fernando da Silva Rocha, Gisele Polete Mizobutsi, Sabrina Gonçalves Vieira de Castro",yes,completely randomized design with split-plot arrangement,no,,yes,√x+1,unmentioned,unmentioned,transformed,manga,0.29,selected,NA
26,CORN FERTILIZATION USING SWINE WASTEWATER AND SOIL-WATER ENVIRONMENTAL QUALITY,Engenharia Agricola,2017,"DANIELLE M. ROSA, SILVIO C. SAMPAIO, PÂMELA A. M. PEREIRA, RALPHO R. DOS REIS, MARIANA SBIZZARO",yes,randomized block design - RBD,yes,unmentioned,yes,√x+2,normality,unmentioned,transformed,milho,0.13,selected,NA
27,Cost reduction and quality enhancement in passion fruit seedlings using alternative substrate,Semina: Ciências Agrárias,2021,Luana Nascimento da Silva; Lucas Kennedy Silva Lima; Filipe Silva Aguiar; Onildo Nunes de Jesus ,yes,randomized block design - RBD,no,,yes,µ/desvio padrão,normality,unmentioned,transformed,maracujá azedo,0.21,selected,NA
28,Effect of castration on carcass yield and composition of crossbred river buffaloes (Buffalypso) in the growth stage,Cuban Journal of Agricultural Science,2013,"O. Fundora, Verena Torres, J.L Medina, Lucía Sarduy, María. E. González",yes,randomized block design - RBD,yes,"normality, homogeneity",yes,√arcsine ,"normality, homogeneity","normality, homogeneity",transformed,búfalos mestiços,,selected,NA
29,EFFICIENCY OF ARTIFICIAL HYBRIDIZATION IN SOYBEAN DURING THE SUMMER DEPENDING ON TEMPERATURE AND RELATIVE HUMIDITY,Bioscience Journal,2015,Éder MATSUO; Tuneo SEDIYAMA; Cosme Damião CRUZ; Sérgio Hermínio BROMMONSCHENKEL; Silvana da Costa FERREIRA; Gustavo Sessa FIALHO,yes,randomized block design - RBD,yes,"normality, homogeneity",yes,log(x+0.5),"normality, homogeneity","normality, homogeneity",transformed,soja,0.13,selected,NA
30,HEALTH AND PHYSIOLOGICAL QUALITY OF AROEIRA-PRETA (Lithraea molleoides) SEEDS EXPOSED TO METHODS OF OVERCOMING DORMANCY,Ciência Florestal,2014,"Graziela Piveta, Marlove de Fátima Brião Muniz, Lia Rejane Silveira Reiniger, Cláudia Braga Dutra, Cleidionara Pacheco",yes,completely randomized design - CRD,no,,yes,arcsen√x/100,unmentioned,unmentioned,transformed,SEMENTES DE AROEIRA-PRETA,0.18,selected,NA
31,Passion Fruit (Passiflora spp.) species as sources of resistance to soil phytopathogens Fusarium solani and Fusarium oxysporum f. sp. passiflorae complex,Revista Brasileira de Fruticultura,2020,"Juliana Avelar de Carvalho, Jeferson Gonçalves de Jesus, Kelly Lana Araujo, Milson Evaldo Serafim, Thiago Alexandre Santana Gilio, Leonarda Grillo Neves",yes,randomized block design - RBD,no,,yes,√( x + 0.5),unmentioned,unmentioned,transformed,maracujá,0.29,selected,NA
31,Passion Fruit (Passiflora spp.) species as sources of resistance to soil phytopathogens Fusarium solani and Fusarium oxysporum f. sp. passiflorae complex,Revista Brasileira de Fruticultura,2020,"Juliana Avelar de Carvalho, Jeferson Gonçalves de Jesus, Kelly Lana Araujo, Milson Evaldo Serafim, Thiago Alexandre Santana Gilio, Leonarda Grillo Neves",yes,randomized block design - RBD,no,,yes,logarithm ,unmentioned,unmentioned,transformed,maracujá,0.29,selected,NA
32,Nitrogen doses in the growth of Calceolaria x herbeohybrida in pot,Ornamental Horticulture,2017,"Mara Cíntia Winhelmann, Gislaine Taís Grzeça, Priscila Paris, Marília Tedesco, Joana Palolazzi, Eduarda Demari Avrella, Claudimar Sidnei Fior, Gilmar Schäfer.",yes,completely randomized design - CRD,yes,unmentioned,yes,logarithm,unmentioned,unmentioned,transformed,Calceolaria x herbeohybrida,0.28,selected,NA
33,Pathogenicity of Bacillus Strains to Cotton Seedlings and Their Effects on Some Biochemical Components of the Infected Seedlings,PLANT PATHOLOGY J,2022,"Aly A. Aly, Omima M. El-Mahdy, Marian M. Habeb, Abeer Elhakem, Amal A. Asran, Maryan M. Youssef, Heba I. Mohamed, and Rania S. Hanafy.",yes,randomized block design - RBD,yes,unmentioned,yes,arcsen,homogeneity,unmentioned,transformed,Algodão,0.66,selected,NA
34,Rooting competence of mini-cuttings of Cabralea canjerana clones in different seasons,Ciência Rural,2020,"Cláudia Burin, Sorhaila Camila Batistel, Gabriele Lohmann, Dilson Antônio Bisognin.",yes,completely randomized design - CRD,yes,"normality, homogeneity",yes,arcsen,"normality, homogeneity",unmentioned,transformed,Cabralea canjerana,0.28,selected,NA
34,Rooting competence of mini-cuttings of Cabralea canjerana clones in different seasons,Ciência Rural,2020,"Cláudia Burin, Sorhaila Camila Batistel, Gabriele Lohmann, Dilson Antônio Bisognin.",yes,completely randomized design - CRD,yes,"normality, homogeneity",yes,square,"normality, homogeneity",unmentioned,transformed,Cabralea canjerana,0.28,selected,NA
35,"‘TAQUARI’, A NEW AND A PROMISING MANGO MATERIAL: EMERGENCE, POST-HARVEST AND BIOMETRICS OF FRUIT",Bioscience Journal,2018,"Guilherme Nacata, Renata Aparecida de Andrade, Kelly Magalhães Marques, Ariadne Kaleda Marino, Ben-Hur Mattiuz.",yes,randomized block design - RBD,no,,yes,arcsen,unmentioned,unmentioned,transformed,manga,0.13,selected,NA
36,Trade-Offs of Flowering and Maturity Synchronisation for Pineapple Quality,PLOS ONE,2015,"V. Nicodème Fassinou Hotegni, Willemien J. M. Lommen*, Euloge K. Agbossou, Paul C. Struik",yes,split-plot design,no,,yes,"√x+0,5",unmentioned,unmentioned,transformed,abacaxi,0.88,selected,NA
36,Trade-Offs of Flowering and Maturity Synchronisation for Pineapple Quality,PLOS ONE,2015,"V. Nicodème Fassinou Hotegni, Willemien J. M. Lommen*, Euloge K. Agbossou, Paul C. Struik",yes,split-plot design,no,,yes,arcsen√ ,unmentioned,unmentioned,transformed,abacaxi,0.88,selected,NA
37,Analysis of variance of primary data on plant growth analysis,PESQUISA AGROPECUÁRIA BRASILEIRA,2003,Adelson Paulo Araújo,yes,randomized block design,yes,homogeneity,yes,logarithm,homogeneity,unmentioned,"transformed, original","tomate, feijão, milheto, arroz",0.36,selected,NA
38,Impact of Positive Selection on Incidence of Different Viruses During Multiple Generations of Potato Seed Tubers in Uganda,Potato Research,2018,"Uta Priegnitz, Willemien J.M. Lommen, René A.A. van der Vlugt e Paul C. Struik",yes,split-plot design,no,,yes,arcsen,unmentioned,unmentioned,transformed,batata,0.74,selected,NA
39,Modeling Spatially Correlated and Heteroscedastic Errors in Ethiopian Maize Trials,crop science,2018,"Tigist Mideksa Damesa, Jens Möhring, Johannes Forkman, and Hans-Peter Piepho",yes,randomization-based model,yes,homogeneity,yes,Box-Cox,homogeneity,unmentioned,"transformed, original",milho,0.90,selected,NA
40,Logarithmic Transformation is Essential for Statistical Analysis of Fungicide EC50 Values,JOURNAL OF PHYTOPATHOLOGY,2014,"Hong-Jie Liang, Jin-Li Li, Ya-Li Di, An-Sheng Zhang, and Fu-Xing Zhu.",yes,unmentioned,yes,"normality, homogeneity",yes,logarithm,"normality, homogeneity","normality, homogeneity","transformed, original",fungicidas,0.44,selected,NA
41,Influence of weight and type of planting material on fruit quality and its heterogeneity in pineapple, Frontiers in Plant Science,2015,"V. Nicodème Fassinou Hotegni, Willemien J. M. Lommen*, Euloge K. Agbossou, Paul C. Struik",yes,split-plot design,no,,yes,arcsen√ ,unmentioned,unmentioned,transformed,abacaxi,1.32,selected,NA
41,Influence of weight and type of planting material on fruit quality and its heterogeneity in pineapple, Frontiers in Plant Science,2015,"V. Nicodème Fassinou Hotegni, Willemien J. M. Lommen*, Euloge K. Agbossou, Paul C. Struik",yes,split-plot design,no,,yes,"√x+0,5",unmentioned,unmentioned,transformed,abacaxi,1.32,selected,NA
42,Inheritance of resistance to root-lesion nematode (Pratylenchus thornei) in wheat landraces and cultivars from the West Asia and North Africa (WANA) region,Crop & Pasture Science,2011,"J. P. Thompson, and N. P. Seymour",yes,randomized complete block design,yes,unmentioned,yes,logarithm,unmentioned,unmentioned,transformed,Trigo,0.82,selected,NA
43,Data transformations in experiments with zucchini in protected environment    ,CIENCIA RURAL,2009,"Couto, MRM and Lucio, AD and Lopes, SJ and Carpes, RH",yes,randomized block design - RBD,yes,unmentioned ,yes,Box-Cox,normality,"normality, homogeneity",transformed,abobrinha italiana,0.28,selected,NA
44,Box-cox transformation in experiments with green pepper in protected environments,HORTICULTURA BRASILEIRA,2011,"Lucio, AD and Couto, MRM and Lopes, SJ and Storck, L",yes,randomized block design - RBD,yes,unmentioned ,yes,Box-Cox,normality,"normality, homogeneity",transformed,pimenta verde,0.31,selected,NA
45,Impact of Multiple Insect-Pest Incidence on Yield,CEREAL RESEARCH COMMUNICATIONS,2015,"Sarao, PS and Shera, PS and Singh, P",yes,randomized block design - RBD,yes,unmentioned,yes,square root,normality,unmentioned,original,Arroz basmati,0.41,selected,NA
45,Impact of Multiple Insect-Pest Incidence on Yield,CEREAL RESEARCH COMMUNICATIONS,2015,"Sarao, PS and Shera, PS and Singh, P",yes,randomized block design - RBD,yes,unmentioned,yes,arcsen,normality,unmentioned,original,Arroz basmati,0.41,selected,NA
46,Data Transformation in Statistical Analysis of Field Trials with Changing Treatment Variance    ,AGRONOMY JOURNAL,2009,"Piepho, HP",yes,completely randomized design - CRD,yes,normality,yes,"power transformation y^0,235","normality, homogeneity","normality, homogeneity",transformed,nabo,0.86,selected,NA
47,Analysis of variance in soil research: examining the assumptions,European Journal of Soil Science,2019,"Webster, R. and Lark, R.M.",yes,completely randomized design - CRD,yes,"normality, homogeneity",yes,Box-Cox,"normality, homogeneity",unmentioned,transformed,nitrogênio do solo,0.97,selected,NA
47,Analysis of variance in soil research: examining the assumptions,European Journal of Soil Science,2019,"Webster, R. and Lark, R.M.",yes,completely randomized design - CRD,yes,"normality, homogeneity",yes,logarithm,"normality, homogeneity",unmentioned,transformed,nitrogênio do solo,0.97,selected,NA
48,Field evaluation of hermetic and synthetic pesticide‐based technologies in smallholder sorghum grain storage in hot and arid climates,Scientific Reports,2021,"Mubayiwa, M. and Mvumi, B.M. and Stathers, T. and Mlambo, S. and Nyabako, T.",yes,randomized block design - RBD,yes,unmentioned ,yes,square root,unmentioned,unmentioned,transformed,sorgo,1.05,selected,NA
48,Field evaluation of hermetic and synthetic pesticide‐based technologies in smallholder sorghum grain storage in hot and arid climates,Scientific Reports,2021,"Mubayiwa, M. and Mvumi, B.M. and Stathers, T. and Mlambo, S. and Nyabako, T.",yes,randomized block design - RBD,yes,unmentioned ,yes,logarithm,unmentioned,unmentioned,transformed,"traça-dos-cereais, besouro-das-farinhas ",1.05,selected,NA
49,Synergistic effect of sulfur and nitrogen in the organic and mineral fertilization of durum wheat: Grain yield and quality traits in the Mediterranean environment,Agronomy,2018,"Rossini, F. and Provenzano, M.E. and Sestili, F. and Ruggeri, R.",yes,split-split plot design,yes,normality,yes,unmentioned,unmentioned,unmentioned,unmentioned,trigo,1.42,selected,NA
50,Soil texture modulates the response of ammonia-oxidizing prokaryotes to biochemical quality of organic inputs in tropical agricultural soils,Soil Biology and Biochemistry,2016,"Muema, E.K. and Cadisch, G. and Rasche, F.",yes,completely randomized design - CRD with  factoria,yes,"normality, homogeneity",yes,unmentioned,unmentioned,unmentioned,unmentioned,Atividade Microbiana do Solo,8.55,selected,NA
51,"Community level physiological profiles (CLPP), characterization and microbial activity of soil amended with dairy sewage sludge",Sensors,2012,"Fra̧c, M. and Oszust, K. and Lipiec, J.",yes,randomized block design - RBD,yes,"normality, homogeneity",yes,unmentioned,"normality, homogeneity",unmentioned,unmentioned,Atividade Microbiana do Solo,0.90,selected,NA
52,Generalized lineal models for the analysis of binary data from propagation experiments of Brazilian orchids,Brazilian Archives of Biology and Technology,2008,"Mora, F. and De Menezes Gonçalves, L. and Scapim, C.A. and Martins, E.N. and Da Silva Machado, M.D.F.P.",yes,completely randomized design - CRD with  factoria,yes,normality,yes,arcsen(y/100),normality,unmentioned,transformed,Cattleya bicolor orquidia,0.22,selected,NA
53,Preliminary screening of domestic barley and wild barley genotypes for salt tolerance,"Agrosystems, Geosciences and Environment",2021,"Mohammed, A.H. and Morrison, J.I. and Baldwin, B.S.",yes,randomized block design - RBD com fatorial,no,,yes,unmentioned,homogeneity,unmentioned,unmentioned,cevada,,selected,NA
54,Physiological potential and health of soybean seeds obtained from organic and conventional systems,Journal of Seed Science,2019,"Ibanhes Neto, H.F. and Freiria, G.H. and da Costa, D.S. and Prete, C.E.C. and Takahashi, L.S.A.",yes,randomized block design - RBD,yes,"normality, homogeneity",yes,unmentioned,unmentioned,unmentioned,unmentioned,soja,0.41,selected,NA
55,Impact of pyrochar and hydrochar on soybean (Glycine max L.) root nodulation and biological nitrogen fixation,Zeitschrift fur Pflanzenernahrung und Bodenkunde,2017,"Scheifele, M. and Hobi, A. and Buegger, F. and Gattinger, A. and Schulin, R. and Boller, T. and Mäder, P.",yes,randomized block design - RBD,yes,normality,yes,unmentioned,normality,unmentioned,unmentioned,soja,,selected,NA
56,Heat-dried sclerotia of Sclerotinia sclerotiorum myceliogenically germinate in water and are able to infect Brassica napus,CROP & PASTURE SCIENCE,2018,"Lane, DW and Kamphuis, LG and Derbyshire, MC and Denton-Giles, M",yes,Full-factorial,yes,"normality, homogeneity",yes,unmentioned,"normality, homogeneity",unmentioned,unmentioned,mofo branco ,0.82,selected,NA
57,Agronomical and Physiological Responses of Faba Bean Genotypes to Salt Stress,Agriculture (Switzerland),2022,"Afzal, M. and Alghamdi, S.S. and Migdadi, H.H. and El-Harty, E. and Al-Faifi, S.A.",yes,randomized block design - RBD split plot,no,,yes,unmentioned,unmentioned,unmentioned,unmentioned,Feijão-fava,,selected,NA
58,"Forage Yield, Quality, and Impact on Subsequent Cash Crop of Cover Crops in an Integrated Forage/Row Crop System",Agronomy,2022,"Bracey, W.M. and Sykes, V.R. and Yin, X. and Bates, G.E. and Butler, D.M. and McIntosh, D.W. and Willette, A.R.",yes,factorial design,yes,"normality, homogeneity",yes,unmentioned,"normality, homogeneity",unmentioned,unmentioned,forragem de gado,1.42,selected,NA
59,IMPACT OF DROUGHT AND SALT STRESS ON SEED GERMINATION AND SEEDLING GROWTH OF MAIZE HYBRIDS,GENETIKA-BELGRADE,2019,"Radic, V and Balalic, I and Jacimovic, G and Nastasic, A and Savic, J and Marjanovic-Jeromela, A",yes,factorial design,no,,yes,unmentioned,unmentioned,unmentioned,unmentioned,milho,0.75,selected,NA
60,Back to the basics: allometric growth by the horns of bovid mammals,,,,,,,,,,,,,,,discarded,did not perform variance analysis
61,Enhanced low flow prediction for water and environmental management,,,,,,,,,,,,,,,discarded,did not perform variance analysis
62,Comparisons Between Laboratory Sediment Toxicity Test Results and Assessment of Benthic Community Changes for a Lake with Mild Metal Contamination,,,,,,,,,,,,,,,discarded,did not perform variance analysis
63,Determinants of Consumer Intentions to Purchase Energy-Saving Household Products in Pakistan,,,,,,,,,,,,,,,discarded,did not perform variance analysis
64,Generation of Monthly Precipitation Climatologies for Costa Rica Using Irregular Rain-Gauge Observational Networks,,,,,,,,,,,,,,,discarded,did not perform variance analysis
65,Impact of host plant species and whitefly species on feeding behavior of Bemisia tabaci,,,,,,,,,,,,,,,discarded,did not perform variance analysis
66,Hierarchical regression models for dendroclimatic standardization and climate reconstruction    ,,,,,,,,,,,,,,,discarded,did not perform variance analysis
67,Improving finger coordination in young and elderly persons,,,,,,,,,,,,,,,discarded,physical education
68,Optimal stopping time of software system test via artificial neural network with fault count data,,,,,,,,,,,,,,,discarded,IT Article
69,"Pharmacokinetic and Safety Comparison of Two Capecitabine Tablets in Patients with Colorectal or Breast Cancer Under Fed Conditions: A Multicenter, randomized, Open-Label, Three-Period, and Reference-Replicated Crossover Study",,,,,,,,,,,,,,,discarded,oncology 
70,Multivariate Statistical Methods for Metabolic Phenotyping,,,,,,,,,,,,,,,discarded,book
71,Dissociating embodiment and emotional reactivity in motor responses to artworks,,,,,,,,,,,,,,,discarded,psychology
72,542,,,,,,,,,,,,,,,discarded,book
73,Application of statistics in plant and crop research: important issues,,,,,,,,,,,,,,,discarded,did not perform variance analysis
74,Realized Heritability of Tonic Immobility in White Leghorn Hens: A Replicated Single Generation Test,,,,,,,,,,,,,,,discarded,did not perform variance analysis
75,Differences in the rotational effect of buoyancy and trunk kinematics between front crawl and backstroke swimming,,,,,,,,,,,,,,,discarded,physical education
76,"The analysis of chinchilla (Chinchilla lanigera, M.) male reproduction. The case of a leading polish breeding farm",,,,,,,,,,,,,,,discarded,did not perform variance analysis
77,Analyzing Proportion Scores as Outcomes for Prevention Trials: a Statistical Primer    ,,,,,,,,,,,,,,,discarded,public health
78,The Dynamics of Public Opinion Following Terror Attacks: Evidence for a Decrease in Equalitarian Values From Internet Search Volume Indices,,,,,,,,,,,,,,,discarded,psychology
79,Data transformations in analysis of variance    ,,,,,,,,,,,,,,,discarded,did not perform variance analysis
80,Visual Velocity Input-Output Functions: The Integration of Distance and Duration Onto Subjective Velocity ,,,,,,,,,,,,,,,discarded,psychology
81,Measurement scales and the age-complexity hypothesis,,,,,,,,,,,,,,,discarded,psychology
82,Cognitive Therapy and Research,,,,,,,,,,,,,,,discarded,psychology
83,INTEGRATIVE CLUSTER ANALYSIS IN BIOINFORMATICS,,,,,,,,,,,,,,,discarded,book
84,Experimental research and multivariate statistical analyses in business information systems research – a meta-review,,,,,,,,,,,,,,,discarded,did not perform variance analysis
